timestamp,sensor_id,value,unit,level,message
2025-06-03T15:43:23.051336,SYSTEM,0.0,LOG,INFO,Łączenie z 127.0.0.1:8081...
2025-06-03T15:43:23.051846,SYSTEM,0.0,LOG,INFO,Połączenie nawiązane.
2025-06-03T15:43:23.052025,NETWORK,0,STATUS,INFO,"Wysyłanie pakietu (próba 1): {'sensor_id': 'T001', 'timestamp': '2025-06-03T15:43:23.051982', 'value': 24.66, 'unit': '°C'}"
2025-06-03T15:43:23.052889,NETWORK,0,STATUS,INFO,ACK otrzymany
2025-06-03T15:43:23.052963,T001,24.66,°C,,
2025-06-03T15:43:23.053054,NETWORK,0,STATUS,INFO,"Wysyłanie pakietu (próba 1): {'sensor_id': 'H001', 'timestamp': '2025-06-03T15:43:23.053021', 'value': 62.36, 'unit': '%'}"
2025-06-03T15:43:23.054014,NETWORK,0,STATUS,INFO,ACK otrzymany
2025-06-03T15:43:23.054059,H001,62.36,%,,
2025-06-03T15:43:23.054104,NETWORK,0,STATUS,INFO,"Wysyłanie pakietu (próba 1): {'sensor_id': 'L001', 'timestamp': '2025-06-03T15:43:23.054090', 'value': 7421.63, 'unit': 'lx'}"
2025-06-03T15:43:23.054442,NETWORK,0,STATUS,INFO,ACK otrzymany
2025-06-03T15:43:23.054470,L001,7421.63,lx,,
2025-06-03T15:43:23.054505,NETWORK,0,STATUS,INFO,"Wysyłanie pakietu (próba 1): {'sensor_id': 'AQ001', 'timestamp': '2025-06-03T15:43:23.054494', 'value': 16.94, 'unit': 'AQI'}"
2025-06-03T15:43:23.054799,NETWORK,0,STATUS,INFO,ACK otrzymany
2025-06-03T15:43:23.054825,AQ001,16.94,AQI,,
2025-06-03T15:43:24.055109,NETWORK,0,STATUS,INFO,"Wysyłanie pakietu (próba 1): {'sensor_id': 'T001', 'timestamp': '2025-06-03T15:43:24.055078', 'value': 25.34, 'unit': '°C'}"
2025-06-03T15:43:24.056597,NETWORK,0,STATUS,INFO,ACK otrzymany
2025-06-03T15:43:24.056669,T001,25.34,°C,,
2025-06-03T15:43:24.056723,NETWORK,0,STATUS,INFO,"Wysyłanie pakietu (próba 1): {'sensor_id': 'H001', 'timestamp': '2025-06-03T15:43:24.056705', 'value': 61.41, 'unit': '%'}"
2025-06-03T15:43:24.057481,NETWORK,0,STATUS,INFO,ACK otrzymany
2025-06-03T15:43:24.057542,H001,61.41,%,,
2025-06-03T15:43:24.057593,NETWORK,0,STATUS,INFO,"Wysyłanie pakietu (próba 1): {'sensor_id': 'L001', 'timestamp': '2025-06-03T15:43:24.057576', 'value': 7350.7, 'unit': 'lx'}"
2025-06-03T15:43:24.058388,NETWORK,0,STATUS,INFO,ACK otrzymany
2025-06-03T15:43:24.058472,L001,7350.7,lx,,
2025-06-03T15:43:24.058570,NETWORK,0,STATUS,INFO,"Wysyłanie pakietu (próba 1): {'sensor_id': 'AQ001', 'timestamp': '2025-06-03T15:43:24.058546', 'value': 36.94, 'unit': 'AQI'}"
2025-06-03T15:43:24.059362,NETWORK,0,STATUS,INFO,ACK otrzymany
2025-06-03T15:43:24.059424,AQ001,36.94,AQI,,
2025-06-03T15:43:25.060010,NETWORK,0,STATUS,INFO,"Wysyłanie pakietu (próba 1): {'sensor_id': 'T001', 'timestamp': '2025-06-03T15:43:25.059900', 'value': 26.64, 'unit': '°C'}"
2025-06-03T15:43:25.063502,NETWORK,0,STATUS,INFO,ACK otrzymany
2025-06-03T15:43:25.063693,T001,26.64,°C,,
2025-06-03T15:43:25.063873,NETWORK,0,STATUS,INFO,"Wysyłanie pakietu (próba 1): {'sensor_id': 'H001', 'timestamp': '2025-06-03T15:43:25.063812', 'value': 60.4, 'unit': '%'}"
2025-06-03T15:43:25.066921,NETWORK,0,STATUS,INFO,ACK otrzymany
2025-06-03T15:43:25.067118,H001,60.4,%,,
2025-06-03T15:43:25.067294,NETWORK,0,STATUS,INFO,"Wysyłanie pakietu (próba 1): {'sensor_id': 'L001', 'timestamp': '2025-06-03T15:43:25.067235', 'value': 7344.31, 'unit': 'lx'}"
2025-06-03T15:43:25.070290,NETWORK,0,STATUS,INFO,ACK otrzymany
2025-06-03T15:43:25.070550,L001,7344.31,lx,,
2025-06-03T15:43:25.070907,NETWORK,0,STATUS,INFO,"Wysyłanie pakietu (próba 1): {'sensor_id': 'AQ001', 'timestamp': '2025-06-03T15:43:25.070815', 'value': 31.6, 'unit': 'AQI'}"
2025-06-03T15:43:25.073642,NETWORK,0,STATUS,INFO,ACK otrzymany
2025-06-03T15:43:25.073850,AQ001,31.6,AQI,,
----- KONIEC SESJI -----
2025-06-03T15:44:14.623286,SYSTEM,0.0,LOG,INFO,Łączenie z 127.0.0.1:8081...
2025-06-03T15:44:14.623564,SYSTEM,0.0,LOG,INFO,Połączenie nawiązane.
2025-06-03T15:44:14.623687,NETWORK,0,STATUS,INFO,"Wysyłanie pakietu (próba 1): {'sensor_id': 'T001', 'timestamp': '2025-06-03T15:44:14.623666', 'value': 29.93, 'unit': '°C'}"
2025-06-03T15:44:14.624634,NETWORK,0,STATUS,INFO,ACK otrzymany
2025-06-03T15:44:14.624681,T001,29.93,°C,,
2025-06-03T15:44:14.624732,NETWORK,0,STATUS,INFO,"Wysyłanie pakietu (próba 1): {'sensor_id': 'H001', 'timestamp': '2025-06-03T15:44:14.624712', 'value': 80.3, 'unit': '%'}"
2025-06-03T15:44:14.625133,NETWORK,0,STATUS,INFO,ACK otrzymany
2025-06-03T15:44:14.625169,H001,80.3,%,,
2025-06-03T15:44:14.625239,NETWORK,0,STATUS,INFO,"Wysyłanie pakietu (próba 1): {'sensor_id': 'L001', 'timestamp': '2025-06-03T15:44:14.625223', 'value': 6805.49, 'unit': 'lx'}"
2025-06-03T15:44:14.625701,NETWORK,0,STATUS,INFO,ACK otrzymany
2025-06-03T15:44:14.625741,L001,6805.49,lx,,
2025-06-03T15:44:14.625781,NETWORK,0,STATUS,INFO,"Wysyłanie pakietu (próba 1): {'sensor_id': 'AQ001', 'timestamp': '2025-06-03T15:44:14.625769', 'value': 29.17, 'unit': 'AQI'}"
2025-06-03T15:44:14.626169,NETWORK,0,STATUS,INFO,ACK otrzymany
2025-06-03T15:44:14.626222,AQ001,29.17,AQI,,
